 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date:  18. 7.    Time:  21: 8:46
 Units: L = m    , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

      119  0.1000000E+01  0.32143E-01    2      471    -4     1     T
      148  0.2000000E+01  0.95922E-01    4      560    -4     1     T
      179  0.3000000E+01  0.73068E-01    4      658    -4     1     T
      203  0.4000000E+01  0.12351E+00    3      720    -4     1     T
      225  0.5000000E+01  0.19550E+00    4      769    -4     1     T
      261  0.6000000E+01  0.70402E-01    6      899    -4     1     T
      292  0.7000000E+01  0.62599E-01    4      998    -4     1     T
      304  0.8000000E+01  0.91729E-01    4     1047    -4     1     T
      348  0.9000000E+01  0.51051E-01    4     1202    -4     1     T
      384  0.1000000E+02  0.40869E-01    5     1347    -4     1     T
      419  0.1100000E+02  0.54248E-01    6     1470    -4     1     T
      451  0.1200000E+02  0.49804E-01    4     1583    -4     1     T
      471  0.1300000E+02  0.48814E-01    3     1669    -4     1     T
      486  0.1400000E+02  0.66729E-01    4     1733    -4     1     T
      511  0.1500000E+02  0.89373E-01    4     1803    -4     1     T
      521  0.1600000E+02  0.11027E+00    4     1842    -4     1     T
      554  0.1700000E+02  0.78372E-01    3     1944    -4     1     T
      577  0.1800000E+02  0.13034E+00    3     1998    -4     1     T
      599  0.1900000E+02  0.19550E+00    5     2049    -4     1     T
      621  0.2000000E+02  0.19550E+00    4     2098    -4     1     T
      643  0.2100000E+02  0.19550E+00    4     2146    -4     1     T
      665  0.2200000E+02  0.19550E+00    4     2194    -4     1     T
      669  0.2300000E+02  0.26667E+00    4     2210    -4     1     T
      691  0.2400000E+02  0.19550E+00    3     2256    -4     1     T
      695  0.2500000E+02  0.25000E+00    4     2272    -4     1     T
      718  0.2600000E+02  0.14300E+00    3     2328    -4     1     T
      759  0.2700000E+02  0.51761E-01    4     2473    -4     1     T
      775  0.2800000E+02  0.66217E-01    4     2537    -4     1     T
      790  0.2900000E+02  0.66729E-01    4     2597    -4     1     T
      818  0.3000000E+02  0.64844E-01    4     2680    -4     1     T
      834  0.3100000E+02  0.50047E-01    6     2763    -4     1     T
      877  0.3200000E+02  0.29663E-01    4     2909    -4     1     T
      916  0.3300000E+02  0.41341E-01    4     3047    -4     1     T
      950  0.3400000E+02  0.53039E-01    5     3163    -4     1     T
      969  0.3500000E+02  0.65086E-01    4     3241    -4     1     T
      984  0.3600000E+02  0.66729E-01    4     3306    -4     1     T
     1012  0.3700000E+02  0.64844E-01    3     3386    -4     1     T
     1037  0.3800000E+02  0.92635E-01    5     3460    -4     1     T
     1062  0.3900000E+02  0.89373E-01    4     3528    -4     1     T
     1072  0.4000000E+02  0.11578E+00    5     3571    -4     1     T
     1081  0.4100000E+02  0.11111E+00    4     3611    -4     1     T
     1132  0.4200000E+02  0.54145E-01    4     3804    -4     1     T
     1160  0.4300000E+02  0.15984E+00    5     3886    -4     1     T
     1183  0.4400000E+02  0.13034E+00    4     3942    -4     1     T
     1190  0.4500000E+02  0.14286E+00    4     3969    -4     1     T
     1213  0.4600000E+02  0.13903E+00    3     4025    -4     1     T
     1235  0.4700000E+02  0.19550E+00    5     4078    -4     1     T
     1240  0.4800000E+02  0.20000E+00    5     4102    -4     1     T
     1262  0.4900000E+02  0.19550E+00    4     4152    -4     1     T
     1299  0.5000000E+02  0.83103E-01    4     4273    -4     1     T
     1323  0.5100000E+02  0.16734E+00    4     4334    -4     1     T
     1328  0.5200000E+02  0.26786E+00    5     4354    -4     1     T
     1356  0.5300000E+02  0.11028E+00    3     4435    -4     1     T
     1378  0.5400000E+02  0.19550E+00    4     4485    -4     1     T
     1400  0.5500000E+02  0.19550E+00    3     4532    -4     1     T
     1422  0.5600000E+02  0.19550E+00    3     4578    -4     1     T
     1451  0.5700000E+02  0.10689E+00    4     4666    -4     1     T
     1459  0.5800000E+02  0.14815E+00    2     4696    -4     1     T
     1482  0.5900000E+02  0.14300E+00    3     4753    -4     1     T
     1510  0.6000000E+02  0.15947E+00    5     4838    -4     1     T
     1533  0.6100000E+02  0.16757E+00    4     4897    -4     1     T
     1555  0.6200000E+02  0.19550E+00    3     4943    -4     1     T
     1578  0.6300000E+02  0.14300E+00    2     4999    -4     1     T
     1600  0.6400000E+02  0.19550E+00    3     5046    -4     1     T
     1604  0.6500000E+02  0.25000E+00    3     5061    -4     1     T
     1607  0.6600000E+02  0.33333E+00    4     5072    -4     1     T
     1609  0.6700000E+02  0.50000E+00    5     5082    -4     1     T
     1611  0.6800000E+02  0.50000E+00    5     5092    -4     1     T
     1613  0.6900000E+02  0.50000E+00    5     5102    -4     1     T
     1615  0.7000000E+02  0.50000E+00    6     5114    -4     1     T
     1654  0.7100000E+02  0.84963E-01    3     5253    -4     1     T
     1661  0.7200000E+02  0.26667E+00    5     5280    -4     1     T
     1687  0.7300000E+02  0.10860E+00    4     5356    -4     1     T
     1695  0.7400000E+02  0.16667E+00    4     5390    -4     1     T
     1700  0.7500000E+02  0.25714E+00    3     5406    -4     1     T
     1722  0.7600000E+02  0.19550E+00    3     5455    -4     1     T
     1726  0.7700000E+02  0.25000E+00    3     5469    -4     1     T
     1729  0.7800000E+02  0.33333E+00    5     5487    -4     1     T
     1806  0.7900000E+02  0.32760E-01    4     5804    -4     1     T
     1838  0.8000000E+02  0.67455E-01    4     5906    -4     1     T
     1850  0.8100000E+02  0.91729E-01    4     5957    -4     1     T
     1858  0.8200000E+02  0.15225E+00    4     5987    -4     1     T
     1865  0.8300000E+02  0.14286E+00    5     6018    -4     1     T
     1889  0.8400000E+02  0.25670E+00    4     6492     4     1     T
     1893  0.8500000E+02  0.31250E+00    4     6506     4     1     T
     2002  0.8600000E+02  0.25190E-01    5     6986    -4     1     T
